fprr res len:1000:  :1000:  :1000:  :1000:  :1000
fprr remove mean:30.594:  :34.158:  :69.282:  :73.934:  :41.392
fprr remove std:5.55716168975:  :6.7248985316:  :1040.22095543:  :1087.63834284:  :11.0786765037
fprr 99% remove overhead:46: 99%  :60: 99%  :72: 99%  :82: 99%  :80
-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------
bitmap res len:1000:  :1000:  :1000:  :1000:  :1000
bitmap remove mean:78.142:  :80.016:  :81.526:  :75.832:  :64.226
bitmap remove std:11.3168859634:  :13.8022551145:  :13.8934643755:  :14.2968589619:  :7.48444660218
bitmap 99% remove overhead:104: 99%  :106: 99%  :108: 99%  :104: 99%  :74
-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------
rbtree res len:1000:  :1000:  :1000:  :1000:  :1000
rbtree remove mean:112.628:  :94.41:  :140.598:  :123.356:  :133.08
rbtree remove std:1041.68468194:  :35.8168500394:  :1030.89663996:  :43.9157586506:  :47.11982468
rbtree 99% remove overhead:184: 99%  :198: 99%  :204: 99%  :252: 99%  :270
-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------
