fprr res len:1000:  :1000:  :1000:  :1000:  :1000
fprr remove mean:64.538:  :31.77:  :69.208:  :72.242:  :41.992
fprr remove std:1032.56580744:  :6.62865288268:  :1047.62897784:  :1043.62593516:  :11.8160719173
fprr 99% remove overhead:50: 99%  :56: 99%  :68: 99%  :78: 99%  :86
-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------
bitmap res len:1000:  :1000:  :1000:  :1000:  :1000
bitmap remove mean:77.034:  :83.6:  :79.984:  :73.23:  :66.012
bitmap remove std:11.0949511915:  :12.7424632772:  :14.5366797811:  :13.4586862745:  :5.02564554193
bitmap 99% remove overhead:104: 99%  :114: 99%  :104: 99%  :94: 99%  :78
-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------
rbtree res len:1000:  :1000:  :1000:  :1000:  :1000
rbtree remove mean:79.576:  :94.33:  :112.226:  :123.576:  :132.276
rbtree remove std:34.3010901983:  :35.8906009317:  :39.2004285384:  :46.242476043:  :46.0437601837
rbtree 99% remove overhead:182: 99%  :210: 99%  :220: 99%  :252: 99%  :266
-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------:-----------------------------------
